,record_id,month,day,year,plot,species,sex,wgt
62,63,8,19,1977,3,DM,M,40.0
63,64,8,19,1977,7,DM,M,48.0
64,65,8,19,1977,4,DM,F,29.0
65,66,8,19,1977,4,DM,F,46.0
66,67,8,19,1977,7,DM,M,36.0
67,68,8,19,1977,8,DO,F,52.0
68,69,8,19,1977,2,PF,M,8.0
69,70,8,19,1977,3,OX,F,22.0
70,71,8,19,1977,7,DM,F,35.0
73,74,8,19,1977,8,PF,M,7.0
74,75,8,19,1977,8,DM,F,22.0
77,78,8,19,1977,1,PF,M,9.0
78,79,8,19,1977,7,DM,F,42.0
80,81,8,19,1977,4,PF,F,8.0
81,82,8,19,1977,4,DM,F,41.0
82,83,8,20,1977,6,DM,F,37.0
83,84,8,20,1977,19,DM,F,43.0
84,85,8,20,1977,23,DM,F,41.0
85,86,8,20,1977,18,DM,F,40.0
86,87,8,20,1977,5,PF,F,9.0
87,88,8,20,1977,18,DM,F,45.0
88,89,8,20,1977,12,PP,F,15.0
89,90,8,20,1977,18,DM,M,29.0
91,92,8,20,1977,6,DM,M,39.0
92,93,8,20,1977,18,DM,,42.0
93,94,8,20,1977,18,DM,F,43.0
94,95,8,20,1977,23,DM,M,46.0
95,96,8,20,1977,12,DM,M,41.0
96,97,8,20,1977,18,DM,M,41.0
97,98,8,20,1977,5,DM,M,40.0
98,99,8,20,1977,11,DM,M,45.0
100,101,8,20,1977,5,DM,F,46.0
101,102,8,20,1977,23,DM,F,40.0
102,103,8,20,1977,18,DM,F,30.0
104,105,8,20,1977,19,DM,M,39.0
108,109,8,20,1977,6,DM,M,34.0
110,111,8,20,1977,11,DM,F,42.0
111,112,8,20,1977,23,DM,M,42.0
112,113,8,20,1977,5,PF,F,8.0
115,116,8,21,1977,13,DM,F,31.0
145,146,8,21,1977,13,DM,F,40.0
156,157,9,11,1977,20,DM,M,37.0
157,158,9,11,1977,22,DM,M,48.0
160,161,9,11,1977,5,DM,M,42.0
161,162,9,11,1977,6,DM,F,45.0
162,163,9,11,1977,12,PP,F,16.0
163,164,9,11,1977,22,DM,F,36.0
166,167,9,11,1977,6,DM,M,42.0
167,168,9,11,1977,12,DM,M,44.0
169,170,9,11,1977,20,DM,F,41.0
171,172,9,11,1977,22,PF,F,8.0
172,173,9,11,1977,12,DM,F,40.0
173,174,9,11,1977,12,DM,M,34.0
174,175,9,11,1977,19,DM,M,40.0
176,177,9,11,1977,5,OX,F,20.0
177,178,9,11,1977,18,DM,M,44.0
178,179,9,11,1977,12,DM,M,44.0
179,180,9,11,1977,6,DM,M,36.0
180,181,9,11,1977,20,DM,M,33.0
182,183,9,11,1977,5,DM,F,46.0
185,186,9,11,1977,19,DM,F,35.0
186,187,9,12,1977,17,DM,M,46.0
188,189,9,12,1977,17,DM,F,37.0
189,190,9,12,1977,7,DM,M,34.0
191,192,9,12,1977,4,DM,F,45.0
195,196,9,12,1977,7,PF,F,7.0
196,197,9,12,1977,14,DM,M,51.0
197,198,9,12,1977,4,DM,M,39.0
198,199,9,12,1977,11,DM,M,29.0
201,202,9,12,1977,17,DM,F,48.0
202,203,9,12,1977,11,DM,M,46.0
203,204,9,12,1977,16,DM,F,41.0
207,208,9,12,1977,14,DM,M,45.0
208,209,9,12,1977,17,DM,F,42.0
209,210,9,12,1977,11,DM,F,53.0
212,213,9,12,1977,14,DM,F,49.0
214,215,9,12,1977,14,DM,F,46.0
215,216,9,12,1977,4,PF,F,9.0
216,217,9,13,1977,3,PP,F,15.0
217,218,9,13,1977,1,PF,M,4.0
218,219,9,13,1977,13,DM,M,48.0
225,226,9,13,1977,2,DM,M,51.0
227,228,9,13,1977,9,DM,M,50.0
228,229,9,13,1977,13,DM,M,44.0
232,233,9,13,1977,2,DM,M,44.0
233,234,9,13,1977,9,DM,M,45.0
234,235,9,13,1977,13,DM,F,45.0
237,238,9,13,1977,2,PE,M,19.0
241,242,9,13,1977,2,OX,M,22.0
242,243,10,16,1977,6,DM,F,44.0
243,244,10,16,1977,22,DM,F,42.0
244,245,10,16,1977,2,DM,M,39.0
245,246,10,16,1977,13,DM,M,47.0
247,248,10,16,1977,22,OT,M,21.0
248,249,10,16,1977,13,DM,M,42.0
250,251,10,16,1977,2,DM,M,49.0
252,253,10,16,1977,20,DM,M,39.0
253,254,10,16,1977,20,DM,F,43.0
254,255,10,16,1977,18,DM,M,50.0
255,256,10,16,1977,6,DM,M,41.0
256,257,10,16,1977,2,DM,M,47.0
257,258,10,16,1977,18,DM,F,37.0
258,259,10,16,1977,2,DM,M,41.0
259,260,10,16,1977,22,DM,F,36.0
260,261,10,16,1977,6,DM,M,45.0
261,262,10,16,1977,20,PE,M,20.0
262,263,10,16,1977,1,DM,M,40.0
264,265,10,16,1977,9,DM,M,49.0
267,268,10,16,1977,2,DM,F,55.0
268,269,10,16,1977,6,DM,M,46.0
269,270,10,16,1977,1,DM,F,38.0
272,273,10,16,1977,9,DM,M,44.0
273,274,10,16,1977,2,OL,F,21.0
274,275,10,16,1977,20,DM,M,41.0
276,277,10,16,1977,6,OL,,21.0
279,280,10,16,1977,18,DM,M,46.0
282,283,10,16,1977,6,DM,M,36.0
283,284,10,16,1977,13,DM,M,44.0
284,285,10,16,1977,1,DM,M,53.0
286,287,10,17,1977,17,DM,M,41.0
287,288,10,17,1977,17,DM,M,48.0
288,289,10,17,1977,14,DM,M,47.0
291,292,10,17,1977,3,DO,F,33.0
292,293,10,17,1977,4,DM,F,42.0
293,294,10,17,1977,3,DO,F,50.0
294,295,10,17,1977,11,DM,M,41.0
295,296,10,17,1977,17,OT,,21.0
297,298,10,17,1977,19,DM,M,49.0
301,302,10,17,1977,19,DM,F,44.0
302,303,10,17,1977,3,DM,M,31.0
303,304,10,17,1977,21,DM,M,40.0
304,305,10,17,1977,14,DM,F,40.0
305,306,10,17,1977,16,DM,M,23.0
306,307,10,17,1977,19,DM,M,42.0
310,311,10,17,1977,19,RM,M,13.0
311,312,10,17,1977,11,DM,F,42.0
312,313,10,17,1977,19,DM,M,31.0
314,315,10,17,1977,3,DM,M,39.0
315,316,10,17,1977,15,DM,M,48.0
316,317,10,17,1977,17,DO,F,48.0
317,318,10,17,1977,17,DM,M,29.0
