xdata,ydata,xunc,yunc,rho
9.89027,1.13552,0.12916,0.21744,-0.0789
11.91839,2.02299,0.11315,0.21007,-0.2026
9.65929,1.64147,0.11397,0.18853,+0.9224
9.90774,0.94765,0.12235,0.21570,+0.7701
10.25445,1.33187,0.08949,0.18246,-0.2868
10.99939,1.58751,0.08582,0.19437,-0.0146
10.50920,1.79399,0.09931,0.24522,-0.0087
10.96630,1.90554,0.08896,0.22689,+0.0027
11.06101,1.73935,0.11859,0.15621,-0.3021
10.77035,1.61475,0.08701,0.16747,-0.0000
10.36443,1.82090,0.08648,0.18606,-0.5736
10.54589,1.67473,0.11224,0.21032,-0.9024
10.71407,1.70343,0.11829,0.21188,+0.9115
10.35472,1.54552,0.11036,0.21332,-0.0051
9.41949,0.63771,0.14349,0.22279,-0.0140
10.71109,1.45214,0.10676,0.17251,+0.0104
11.51822,1.49873,0.10421,0.23403,+0.0209
10.82149,1.92695,0.13620,0.18434,-0.0966
10.15298,1.32976,0.12106,0.20470,+0.1947
10.29923,1.43382,0.10797,0.21016,+0.8130
10.65543,1.74376,0.10239,0.22390,+0.8626
10.89007,1.49380,0.11408,0.20441,-0.3928
11.05024,1.79277,0.13217,0.14304,+0.6520
9.20227,0.58255,0.11269,0.15838,+0.7605
9.80112,1.52418,0.11295,0.18999,+0.2188
11.10753,2.30028,0.11614,0.23714,-0.0218
10.07372,1.08656,0.11215,0.23424,+0.1939
11.98018,2.25936,0.11442,0.20951,+0.7667
9.89699,1.17687,0.12827,0.21501,-0.2537
10.69376,1.36385,0.14273,0.20183,+0.0884
10.72413,1.70864,0.14496,0.16584,+0.0008
9.61781,1.57113,0.13514,0.18854,+0.4194
11.08220,1.16705,0.11728,0.22358,-0.2156
9.98282,1.36736,0.10813,0.16491,+0.2080
10.36774,1.50944,0.10388,0.21422,+0.2780
10.02591,0.50082,0.12672,0.20701,-0.2467
10.37148,1.40054,0.11426,0.20380,+0.2395
8.49638,0.43839,0.10049,0.13468,-0.0681
8.55765,0.81529,0.08873,0.19035,+0.0280
10.52028,1.36629,0.12627,0.21333,-0.2801
9.04630,1.17143,0.12650,0.22315,+0.0826
10.80193,1.70881,0.14011,0.24636,+0.9843
9.73600,1.05840,0.13528,0.18871,-0.4789
8.58539,0.75555,0.11106,0.22504,+0.1689
10.13041,1.42265,0.14501,0.20103,-0.9240
10.63383,1.63927,0.12200,0.28692,+0.2993
10.07076,1.39761,0.13787,0.26973,-0.2160
9.45653,1.32952,0.12801,0.12473,-0.0913
9.86584,1.72479,0.15726,0.20104,+0.8676
9.46735,1.20088,0.12894,0.16145,-0.2778
10.34608,1.51965,0.12685,0.23964,-0.0585
10.72660,1.29874,0.11436,0.19983,+0.6788
10.07399,1.09028,0.15155,0.23757,+0.0006
10.60971,1.68314,0.12471,0.21678,-0.7418
9.80241,0.92556,0.08496,0.13728,+0.2021
10.13802,1.99835,0.12509,0.20436,-0.0816
10.06288,1.47488,0.14433,0.20787,-0.0149
10.92822,1.74233,0.14286,0.15129,-0.4228
9.56197,0.75240,0.12393,0.25290,+0.1990
10.20961,1.41326,0.11726,0.23567,+0.1930
10.74692,1.66478,0.11563,0.16199,+0.3229
9.96276,1.12588,0.11810,0.18043,+0.7710
10.73372,1.59349,0.14251,0.21537,-0.0207
10.33625,1.27877,0.11648,0.20698,+0.9505
11.76673,2.04190,0.08921,0.15865,+0.0908
9.62537,1.46193,0.13270,0.20789,+0.6582
9.91643,1.53773,0.09892,0.13810,-0.0613
10.07952,1.07660,0.11928,0.19454,-0.0315
9.29297,1.00729,0.11797,0.16398,+0.0220
9.88114,1.32583,0.08381,0.16993,-0.6354
10.59475,1.82130,0.10086,0.17947,-0.5914
10.51241,0.86888,0.10968,0.23454,+0.0948
10.47847,1.23051,0.12164,0.16908,-0.1027
10.13208,0.96368,0.14027,0.16652,+0.0637
10.87572,1.78995,0.09671,0.17313,+0.0976
10.39881,1.26213,0.12060,0.22428,+0.1101
9.53753,1.21355,0.09515,0.17729,+0.0545
10.15062,1.44016,0.15264,0.28160,+0.1356
9.60399,1.37820,0.13683,0.18614,+0.0004
11.24513,1.52214,0.12154,0.22812,+0.0190
10.54850,1.47182,0.09496,0.18098,-0.5307
9.95803,0.90839,0.11381,0.18101,-0.0014
10.31665,1.39622,0.10928,0.17763,-0.0326
9.39832,1.09135,0.12571,0.12530,+0.5285
8.97057,0.87742,0.10564,0.25834,+0.8249
11.39701,2.02166,0.09681,0.25802,-0.4929
10.29162,1.28746,0.12472,0.20319,+0.3143
9.92304,1.54731,0.11464,0.24236,-0.0058
9.85016,1.26832,0.14637,0.26203,+0.0024
11.07052,1.49957,0.12975,0.21524,-0.1640
9.22265,0.93354,0.08874,0.15357,+0.8152
10.72382,1.91914,0.09264,0.16941,-0.1042
10.15058,1.61261,0.16376,0.17318,-0.0001
10.35499,1.17481,0.10781,0.18718,-0.6591
10.13534,1.45573,0.14240,0.19267,-0.8821
9.96706,1.15588,0.14172,0.23288,+0.0125
9.44425,1.19598,0.08757,0.21799,+0.0027
10.45392,1.78859,0.12024,0.17902,-0.2034
11.44791,1.84494,0.12682,0.20527,-0.5311
10.59216,1.41704,0.13226,0.15936,+0.0808
